,"begreppTerm
","synonym
","utländskTerm          
",utländskDef,begreppID,kontextBeskriv,"beställare
",bestNamn,bestEmail,bestTele,"bestDate
","definition
",beskrivning,"status
","versionsNR
","källa
",anmärkning,"kommentarHandlaggning
",Unnamed: 18,Unnamed: 19
122,hälsoproblemlista,,,,,,,,,,,hälso- och sjukvårdssamband (6.6) som binder samman en uppsättning hälsoproblem (6.4.2.5),,Klar,2019-12-10,Contsys SE,,,,
123,hälsotillståndsutveckling,,,,,,,,,,,hälso- och sjukvårdssamband (6.6) som visar utvecklingen av hälsotillstånd (6.4) under en hälso- och sjukvårdsprocess (8.2) och som inleds med det hälsotillstånd (6.4) som anger hälsostatus som underlag (6.5.1),,Klar,2019-12-10,Contsys SE I(6.6.3),,,,
124,"hälso- och sjukvårdsaktivitet
",vårdaktivitet,,,,,,,,,,aktivitet (23.6.6) som avser att direkt eller indirekt förbättra eller upprätthålla ett hälsostatus (6.5),,Klar,2019-12-10,Contsys SE ,"Anmärkning 1     I NI är termen aktivitet (inom hälso- och sjukvård). 

Anmärkning 2     Begreppet säger inget om vem eller vad som utför aktiviteten. Den kan vara hälsofrämjande, sjukdomsförebyggande eller bidra till utredning och behandling av hälsoproblem.",,,
125,hälso-och sjukvårdsutföraraktivitet,,,,,,,,,,,hälso- och sjukvårdsaktivitet (7.2) som utförs av en hälso- och sjukvårdsutförare (5.2.3),,Klar,2019-12-10,Contsys SE ,Anmärkning 1     I enlighet med resonemanget om vårdgivare/hälso- och sjukvårdsutförare är termen ändrad från Contsys vårdgivaraktivitet.,,,
126,hälso- och sjukvårdsaktivitetsförteckning,,,,,,,,,,,förteckning över de hälso- och sjukvårdsaktiviteter (7.2) som erbjuds av en hälso- och sjukvårdsutförare (5.2.3),,Klar,2019-12-10,Contsys SE ,Anmärkning 1     Obs att Contsys vårdgivare bytts mot hälso- och sjukvårdsutförare.,,,
127,ordinerad egenvård,,,,,,,,,,,"egenvårdsaktivitet (27.2.4.1) som ordinerats av hälso- och sjukvårdsprofessionell aktör (5.2.3.3.1)

Alternativ definition     
Socialstyrelsen använder termen hälso- och sjukvårdsåtgärd, som inte finn med i FVMs begreppssystem.
",,Klar,2019-12-10,Contsys SE ,"Anmärkning 1     hälso- och sjukvårdsaktivitet som legitimerad hälso- och sjukvårdspersonal bedömt att en patient) själv kan utföra (Socialstyrelsens termbank reviderad). 
",,,
128,"hälso- och sjukvårdstredjepartsaktivitet
",tredjepartsaktivitet,,,,,,,,,,hälso- och sjukvårdsaktivitet (7.2) som utförs av en tredjepart inom hälso- och sjukvård (5.2.4),,Klar,2019-12-10,Contsys SE,,,,
129,ordinerad tredjepartsaktivitet,,,,,,,,,,,hälso- och sjukvårdstredjepartsaktivitet (7.2.5) ordinerad av hälso- och sjukvårdsprofessionell aktör (5.2.3.3.1),,Klar,2019-12-10,Contsys SE,,,,
130,"hälso- och sjukvårdsaktivitetselement
","vårdaktivitetselement, aktivitetselement",,,,,,,,,,element av hälso- och sjukvårdsaktivitet (7.2) som är inriktat på en typ av syfte,,Klar,2019-12-10,Contsys SE - reviderad 2019-06-19.,,,,
131,"hälso- och sjukvårdsaktivitet för behandling
","behandlande vårdaktivitet, behandlande aktivitet, vårdaktivitet för behandling",,,,,,,,,,hälso- och sjukvårdsaktivitetselement (7.2.7) med syfte att direkt förbättra eller upprätthålla ett hälsostatus (6.5),,Klar,2019-12-10,Contsys SE,,,,
132,"utredande vårdaktivitet
",hälso- och sjukvårdsaktivitet för utredning,,,,,,,,,,hälso- och sjukvårdsaktivitetselement (7.2.7) med syfte att klargöra ett eller flera hälsotillstånd (6.4) hos en patient (5.2.1),,Klar,2019-12-10,Contsys SE,"Förklaring     
hälso- och sjukvårdsaktivitet för utredning",,,
133,aktivitetshantering inom hälso- och sjukvård,,,,,,,,,,,hälso- och sjukvårdsaktivitetselement (7.2.7) under vilket status för hälso- och sjukvårdsaktiviteter (7.2) i en vårdplan (9.2) förändras,,Klar,2019-12-10,Contsys SE,,,,
134,bedömning inom hälso- och sjukvård,,,,,,,,,,,hälso- och sjukvårdsaktivitetselement (7.2.7) där en åsikt bildas angående hälsotillstånd (6.4) och/eller hälso- och sjukvårdsaktivitet (7.2),,Klar,2019-12-10,Contsys SE,,,,
135,vårdbehovsbedömning,,,,,,,,,,,bedömning inom hälso- och sjukvård (7.2.7.4) under vilken hälso- och sjukvårdsprofessionell aktör (5.2.3.3.1) med beaktande av en patients (5.2.1) hälsobehov (6.5.3) fastställer behovsbestämda hälso- och sjukvårdsaktiviteter (7.2),,Klar,2019-12-10,Contsys SE ,"Anmärkning 1     Contsys SE anger ""behovsbestämd"" kursiv, men den termen är inte definierad, inte heller tillsammans med hälso- och sjukvådsaktiviteter.",,,
136,hälso- och sjukvårdsplanering,,,,,,,,,,,hälso- och sjukvårdsaktivitetselement (7.2.7) inom aktivitetshantering inom hälso- och sjukvård (7.2.7.3) under vilket en vårdplan (9.2) skapas eller ändras,,Klar,2019-12-10,Contsys SE ,Anmärkning 1     skapande av vård- och omsorgsplan i hälso- och sjukvården (FVM begrepp som hämtats från 3R Contsys men definieras enligt sin plats i begreppsmodellen),,,
137,utvärdering inom hälso- och sjukvård,,,,,,,,,,,hälso- och sjukvårdsaktivitetselement (7.2.7) under vilket aspekter av minst ett annat hälso- och sjukvårdsaktivitetselement (7.2.7) utvärderas,,Klar,2019-12-10,Contsys SE,,,,
138,utvärdering av hälso- och sjukvårdsprocess,,,,,,,,,,,utvärdering inom hälso- och sjukvård (7.2.7.7) där hälso- och sjukvårdsprocess (8.2) systematiskt bedöms i förhållande till krav,,Klar,2019-12-10,Contsys SE,,,,
139,"dokumentation inom hälso- och sjukvård
",vårddokumentation,,,,,,,,,,hälso- och sjukvårdsaktivitetselement (7.2.7) under vilket patientrelaterad information skapas eller upprätthålls,,Klar,2019-12-10,Contsys SE,,,,
140,"kommunikation inom hälso- och sjukvård
",kommunikation inom vården,,,,,,,,,,hälso- och sjukvårdsaktivitetselement (7.2.7) under vilket minst två hälso- och sjukvårdsaktörer (5.2) kommunicerar,,Klar,2019-12-10,Contsys SE,,,,
141,automatiserad hälso- och sjukvård,,,,,,,,,,,metod för att tillhandahålla hälso- och sjukvård (3.1.1) som initieras av en ansvarig hälso- och sjukvårdsaktör (5.2) och därefter utförs automatiskt av en automatisk medicinteknisk produkt (7.2.9.2),,Klar,2019-12-10,Contsys SE,,,,
142,hälso- och sjukvårdsresurs,,,,,,,,,,,resurs (3.4.1) som behövs för att utföra hälso- och sjukvårdsaktivitet (7.2),,Klar,2019-12-10,Contsys SE,,,,
143,vårdlokal,,,,,,,,,,,plats där direkta hälso- och sjukvårdsaktiviteter (7.2) utförs,,Klar,2019-12-10,Contsys SE ,"Anmärkning 1     Plats avser patientens geografiska lokalisation, inte det område på patientens kropp som behandlas.",,,
144,automatisk medicinteknisk produkt,,,,,,,,,,,medicinteknisk produkt (3.4.2) som kan utföra automatiserade hälso- och sjukvårdsaktiviteter (7.2),,Klar,2019-12-10,Contsys SE ,Anmärkning 1     medicinteknisk produkt som efter programmering utför hälso- och sjukvårdsaktiviteter (FVM),,,
145,hantering av hälso- och sjukvårdsresurs,,,,,,,,,,,aktivitet (23.6.6) för att leda och styra tillgången på och användning av de hälso- och sjukvårdsresurser (7.2.9) som krävs för att utföra hälso- och sjukvårdsaktivitet (7.2),,Klar,2019-12-10,Contsys SE,,,,
146,"hälso- och sjukvårdsfinansiering
",Vårdfinasiering,,,,,,,,,,resurs (3.4.1) som tillhandahålls för att finansiera tillhandahållande av hälso- och sjukvård (3.1.1),,Klar,2019-12-10,Contsys SE,,,,
147,"hälso- och sjukvårdsprocess
",vårdprocess,,,,,,,,,,"grupp av hälso- och sjukvårdsaktiviteter (9.2.7) som samverkar eller påverkar varandra och som omformar underlag (input) till resultat (output, utfall)

Alternativ definition    
process avseende hälso- och sjukvård som hanterar ett eller flera relaterade hälsoproblem eller hälsotillstånd i syfte att främja ett avsett resultat (Socialstyrelsens termbank)",,Klar,2019-12-10,Contsys SE ,"Anmärkning 1
Process är definierat i ISO 9000 (termpost 3.61.). Hälso- och sjukvårdsprocess är varje process som ska påverka hälsostatus hos en patient.

Anmärkning 2     
Vårdprocessen startar när vårdbegäran mottas. I information om processen kan dock inkluderas aktiviteter utförda före den formella processtarten. T.ex. kan en person på grund av hälsoproblem utföra egenvård som försök att bli bättre men ge upp och ställa vårdbegäran för egen räkning. När den leder till vårdåtagande är det angeläget att egenvården inkluderas i processen eftersom den kan påverka utfallet av processen. Den ska alltså inte bara vara ett element i sjukhistorien.",,,
148,patientprocess,,,,,,,,,,,"hälso- och sjukvårdsprocess (8.2) som omfattar alla hälso- och sjukvårdsaktiviteter (7.2), utförda eller ordinerade av hälso- och sjukvårdsutförare (5.2.3), som hanterar identifierade eller specificerade hälso- och sjukvårdsangelägenheter (6.2)",,Klar,,Contsys SE,"Alternativ definition     
delprocess inom en vårdprocess i syfte att direkt påverka patientens hälsotillstånd (FVM)

Anmärkning 1     
Patientprocessen är det som i SAMBA visas som kärnprocessen inom hälso- och sjukvården, där patientens hälsotillstånd är förädlingsobjekt. En patientprocess kan inte identifieras om det inte pågår en hälso- och sjukvårdsprocess.",,,
149,ledning och styrning av hälso- och sjukvårdskvalitet,,,,,,,,,,,samordnade aktiviteter (23.6.6) för att leda och styra en hälso- och sjukvårdsorganisation (5.2.3.1) med avseende på kvalitet,,Klar,2019-12-10,Contsys SE,,,,
150,hälso- och sjukvårdsadministration,,,,,,,,,,,administrativ aktiviteter (28.2.3.1) relaterade till hälso- och sjukvårdsprocesser (8.2),,Klar,2019-12-10,Contsys SE,,,,
151,negativ händelse,,,,,,,,,,,oavsiktlig händelse (3.5.6) som har negativ inverkan på utfall av hälso- och sjukvårdsprocess (8.2),,Klar,2019-12-10,Contsys SE ,Anmärkning 1     Se också termpost 3.5.6!,,,
152,hantering av negativa händelser,,,,,,,,,,,uppsättning hälso- och sjukvårdsaktiviteter (7.2) som utförs som respons på en negativ händelse (8.2.4),,Klar,2019-12-10,Contsys SE ,"Anmärkning 1     Detta begrepp får inte förväxlas med avvikelsehantering, som inte förekommer i Contsys SE men är en viktig funktion i svensk sjukvård. Som framgår av termposten negativ händelse är en sådan en avvikelse liksom ett tillbud. hantering av negativa händelser består av hälso- och sjukvårdsaktiviteter som alltid riktar sig till ett hälsostatus som föreligger hos en enda patient, och begreppet avser alltså medicinska åtgärder för att neutralisera den negativa händelsen. Avvikelsehantering riktar sig inte till en viss patient utan avser att analysera orsakerna till tillbud och negativa händelser samt inkludera åtgärder för att förhindra ett upprepande.",,,
153,"hälso- och sjukvårdstjänst
 ",vårdtjänst,,,,,,,,,,"tjänst (3.6.4) som är resultatet av en hälso- och sjukvårdsprocess (8.2)

Alternativ definition     
hälso- och sjukvårdsaktivitet som erbjuds av vårdenhet (FVM)",,Klar,2019-12-10,Contsys SE ,"Anmärkning 1     
I den gällande Contsysstandarden finns termen healtcare service som av 3R översatts med termen ""hälsoutfall för hälso- och sjukvårdsprocess"" och definierats ""resultat av en hälso- och sjukvårdsprocess som patient erhåller"". Detta är inte en tjänst (service), och begreppet hör i stället samman med hälsotillstånd efter en fullbordad process.",,,
154,"förteckning över hälso- och sjukvårdstjänster
","tjänsteutbudskatalog inom hälso- och sjukvård, vårdtjänstkatalog",,,,,,,,,,förteckning över de typer av hälso- och sjukvårdstjänster (8.2.6) som erbjuds av en eller flera vårdutförare (5.2.3),,Klar,2019-12-10,Contsys SE ,"Anmärkning 1     förteckning av tjänsteutbud (FVM) 
Anmärkning 1 förteckning av tjänsteutbud (FVM)
Systemet med utbudskatalog är välutvecklat i flera röntgeninformationssystem (RIS). Det går lika bra att använda vid vilken vårdenhet som helst, men funktionen är nödvändig att bevara vid bild- och funktionsmedicinska verksamheter.

Anmärkning 2     
Contsys term vårdgivare i definitionen bytt mot vårdutförare.",,,
155,"vårdplan
",hälso- och sjukvårdsplan,,,,,,,,,,"dynamisk, individuellt anpassad plan som inkluderar identifierade behovsbestämda hälso- och sjukvårdsaktiviteter (7.2) , hälsomål (9.2.5) och vårdaktivitetsmål (9.2.6) som är relaterade till en eller flera specificerade hälsoangelägenhet (6.3) i en hälso- och sjukvårdsprocess (8.2)

Alternativ definition     
vård- och omsorgsplan som beskriver hälso- och sjukvård för en enskild patient (Socialstyrelsens termbank)",,Klar,2019-12-10,Contsys SE ,,,,
156,"uniprofessionell vårdplan
",professionsspecifik vårdplan,,,,,,,,,,vårdplan (9.2) som är begränsad till de hälso-och sjukvårdsutföraraktiviteter (7.2.1) som utförs av hälso- och sjukvårdsprofessionell aktörer (5.2.3.3.1) som har samma behörighet (31.6),,Klar,2019-12-10,Contsys SE,,,,
157,multiprofessionell vårdplan,"professionsgenerell hälso- och sjukvårdsplan, multidisciplinär vårdplan",,,,,,,,,,vårdplan (9.2) som omfattar hälso-och sjukvårdsutföraraktiviteter (7.2.1) som utförs av hälso- och sjukvårdsprofessionella aktörer (5.2.3.3.1) som har olika behörighet (31.6),,Klar,2019-12-10,Contsys SR,,,,
158,standardiserad vårdplan,,,,,,,,,,,"innehåll och struktur för en potentiell vårdplan (9.2) som kan återanvändas under specificerade omständigheter

Alternativ definition  
[hälso- och sjukvård] vård- och omsorgsplan som på förhand fastlagts utifrån systematiskt framtaget kunskapsunderlag och som beskriver rekommenderade hälso- och sjukvårdsaktivitet för specifika hälsoproblem (Socialstyrelsens termbank, reviderad; Socialstyrelsen skriver sjukvårdsåtgärder).",,Klar,2019-12-10,Contsys SE ,"Anmärkning 1   En publicerad standardiserad vårdplan ska innehålla uppgift om versionsnummer, publiceringsdatum och eventuell giltighetstid.
 
",,,
159,kliniskt kunskapsunderlag,,,,,,,,,,,"uppsättning av systematiskt framtagna uttalanden, avsedda att ge stöd för de beslut som fattas av hälso- och sjukvårdsaktörer (5.2), om hälso- och sjukvårdsaktiviteter (7.2) som ska utföras utifrån specificerade hälsoangelägenheter (6.3)",,Klar,2019-12-10,Contsys SE ,Anmärkning 1  Termen vårdprogram används ofta för detta begrepp. Emellertid används termen vårdprogram även för andra begrepp än vad kliniskt kunskapsunderlag avser. Denna Standard undviker därför termen vårdprogram.,,,
160,vårdriktlinje,,,,,,,,,,,anpassat kliniskt kunskapsunderlag (9.2.4),,Klar,2019-12-10,Contsys SE,,,,
161,vårdaktivitetsförlopp,,,,,,,,,,,förlopp av hälso- och sjukvårdsaktiviteter (7.2) som utgör underlag för innehållet i standardiserad vårdplaner (9.2.3),,Klar,2019-12-10,Contsys SE,,,,
162,hälsomål,,,,,,,,,,,önskat utfall av en hälso- och sjukvårdsprocess (8.2) som hanterar hälsobehov (6.5.3),,Klar,2019-12-10,Contsys SE,,,,
163,vårdaktivitetsmål,,,,,,,,,,,"önskat resultat av en eller flera hälso- och sjukvårdsaktiviteter (7.2), betraktat som ett delmål för att uppnå ett specifikt hälsomål (9.2.5)",,Klar,2019-12-10,Contsys SE,,,,
164,"grupp av hälso- och sjukvårdsaktiviteter
"," grupp av vårdaktiviteter, uppsättning av vårdaktiviteter",,,,,,,,,,uppsättning av hälso- och sjukvårdsaktiviteter (7.2),,Klar,2019-12-10,Contsys SE,,,,
165,"behovsbestämd hälso- och sjukvårdsaktivitet
","behovsbestämd vårdaktivitet, hälso- och sjukvårdsbehov, vårdbehov",,,,,,,,,,grupp av hälso- och sjukvårdsaktiviteter (9.2.7) som inkluderar de hälso- och sjukvårdsaktiviteter (7.2) som bedöms föreligga behov av för att hantera specificerade hälsobehov (6.5.3),,Klar,2019-12-10,Contsys SE,,,,
166,hälso- och sjukvårdsrelaterad period,,,,,,,,,,,tidsintervall relaterat till hälsan (26.1) hos en patient (5.2.1) och/eller tillhandahållandet av hälso- och sjukvård (3.1.1) för denna patient (5.2.1),,Klar,2019-12-10,Contsys SE,,,,
167,"vårdperiod med mandat
",vårduppdragsperiod,,,,,,,,,,uppsättning vårdaktivitetsperioder (10.2.2) under vilka en hälso- och sjukvårdsutförare (5.2.3) har mandat (23.8.2) att utföra de hälso- och sjukvårdsaktiviteter (7.2) som krävs för att tillgodose specificerade hälsobehov (6.5.3),,Klar,2019-12-10,Contsys SE ,Anmärkning 1  Contsys refererade term vårdgivare är bytt mot hälso- och sjukvårdsutförare,,,
168,vårdaktivitetsperiod,,,,,,,,,,,tidsintervall under vilket hälso- och sjukvårdsaktiviteter (7.2) utförs för en patient (5.2.1),,Klar,2019-12-10,Contsys SE,,,,
169,"vårdkontaktperiod
",vårdmötesperiod,,,,,,,,,,vårdaktivitetsperiod (10.2.2) under vilken en vårdkontakt (10.2.2.1.1) sker,,Klar,2019-12-10,Contsys SE,,,,
170,"vårdkontakt
",hälso- och sjukvårdskontakt,,,,,,,,,,"samspel mellan en patient (5.2.1) och en eller flera hälso- och sjukvårdspersonal (5.2.3.3)

Alternativ definition
kontakt mellan patient och hälso- och sjukvårdspersonal då hälso- och sjukvård utförs (Socialstyrelsens termbank)",,Klar,2019-12-10,Contsys SE ,,,,
171,initial vårdkontakt,,,,,,,,,,,vårdkontakt (10.2.2.1.1) under vilken en klinisk process (8.2.1) initieras,,Klar,2019-12-10,Contsys SE,,,,
172,period för indirekt vårdaktivitet,,,,,,,,,,,vårdaktivitetsperiod (10.2.2) under vilken patienten (5.2.1) inte är involverad,,Klar,2019-12-10,Contsys SE,,,,
173,"period för egenvård
",egenvårdsperiod,,,,,,,,,,vårdaktivitetsperiod (10.2.2) under vilken ordinerad egenvård (7.2.4) utförs,,Klar,2019-12-10,Contsys SE,,,,
174,"element inom vårdaktivitetsperiod
",del av vårdaktivitetsperiod,,,,,,,,,,del av en vårdaktivitetsperiod (10.2.2) under vilken en hälsoangelägenhet (6.3) specifikt hanteras,,Klar,2019-12-10,Contsys SE,,,,
175,avtal om vårdkontakt,,,,,,,,,,,avtal om tid och sammanhang för en vårdaktivitetsperiod (10.2.2),,Klar,2019-12-10,Contsys SE,,,,
176,fördröjning av hälso- och sjukvårdsaktivitet,,,,,,,,,,,hälso- och sjukvårdsrelaterad period (10.2) under vilken en hälso- och sjukvårdsaktivitet (7.2) är planerad att vara påbörjad men inte är påbörjad,,Klar,2019-12-10,Contsys SE,,,,
177,fördröjning på grund av hälsotillstånd,,,,,,,,,,,fördröjning av hälso- och sjukvårdsaktivitet (10.2.3) orsakad av ett hälsotillstånd (6.4),,Klar,2019-12-10,Contsys SE,,,,
178,fördröjning på grund av bristande resurser inom hälso- och sjukvårdsorganisation,,,,,,,,,,,fördröjning av hälso- och sjukvårdsaktivitet (10.2.3) orsakad av bristande resurser (3.4.1) inom hälso- och sjukvårdsorganisation (5.2.3.1) då det inte föreligger någon fördröjning på grund av hälsotillstånd (10.2.3.1),,Klar,2019-12-10,Contsys SE,,,,
179,"fördröjning på grund av patientpreferens
",patientvald väntan (PvV),,,,,,,,,,"fördröjning av hälso- och sjukvårdsaktivitet (10.2.3) enligt patientens (5.2.1) preferens, när det varken föreligger en fördröjning på grund av hälsotillstånd (10.2.3.1) eller en fördröjning på grund av bristande resurser inom hälso- och sjukvårdsorganisation (10.2.3.2)",,Klar,2019-12-10,Contsys SE,,,,
180,episod för klinisk process,,,,,,,,,,,hälso- och sjukvårdsrelaterad period (10.2) som inkluderar alla vårdaktivitetsperioder (10.2.2) i en enskild patientprocess (8.2.1),,Klar,2019-12-10,Contsys SE,,,,
181,hälsotillståndsperiod,,,,,,,,,,,hälso- och sjukvårdsrelaterad period (10.2) under vilken ett hälsotillstånd (6.4) har observerats,,Klar,,Contsys SE,"Anmärkning 1     
Observation av ett hälsotillstånd kan leda till en vårdepisod.

Anmärkning 2     
Hälsotillståndsperiod avser endast observationen av hälsotillståndet, till exempel det tidsintervall under vilket en patient har observerat en blödning. Begreppet vårdepisod avser tid för hälso- och sjukvårdsaktiviteter.",,,
182,"vårdepisod
","hälso- och sjukvårdsepisod, episod relaterad till hälsoangelägenhet",,,,,,,,,,"hälso- och sjukvårdsrelaterad period (10.2) under vilken hälso- och sjukvårdsaktiviteter (7.2) utförs för att hantera en hälsoangelägenhet (6.3) som identifierats av hälso- och sjukvårdsprofessionell aktör (5.2.3.3.1)

Alternativ definition     
samtliga vårdkontakter med en patient för ett visst hälsoproblem (Socialstyrelsens termbank)",,Klar,2019-12-10,Contsys SE ,"Anmärkning 1     
För det första hanterar vi bara det som är hälsorelaterat. För det andra är en period i detta sammanhang alltid ett tidsbegrepp, en tidsperiod. Det är viktigt att det är aktiviteterna som knyter ihop episoden, inte kontakterna. För det tredje används termen hälsoangelägenhet på annat ställe i FVM begreppssystem, och hälsoförhållande omfattar såväl hälsoproblem som förhållanden som inte utgör problem men ändå kan föranleda vårdbegäran. För det fjärde kan hälsoförhållandet identifieras även av den som inte har formell hälso- och sjukvårdskompetens. hälsorelaterad tidsperiod under vilken hälso- och sjukvårdsaktiviteter utförs syftande på en hälsoangelägenhet identifierad av en person med formell hälso- och sjukvårdskompetens (3R Contsys) period under vilken hälso- och sjukvårdsaktiviteter utförs syftande på ett hälsoförhållande (FVM utgående från definition i 3R Contsys)

Exempel 1     
Alla synundersökningar under många år för att en person ska få och få behålla flygcertifikat. En serie vaccinationer, som kan behöva upprepas med flera års mellanrum. Två (eller flera) vårdprocesser inkluderande vårdtillfällen för cancer, som under första processen ""botas"", dvs avslutas med att patienten friskförklaras och släpps från kontrollrutin men där den andra (och följande) processer föranleds av recidiv. Regelbundna kontroller för diabetes. Penicillinkur mot halsfluss, där vårdepisoden består av de upprepade egenvårdsaktiviteterna då patienten efter ordination äter sina antibiotikadoser till dess rätt dosantal uppnåtts och episoden är slut. Sista exemplet är en specialisering med termen egenvårdsperiod.",,,
183,målrelaterad vårdepisod,,,,,,,,,,,vårdepisod (10.2.6) under vilken de utförda hälso- och sjukvårdsaktiviteterna (7.2) är inriktade på ett specifikt vårdaktivitetsmål (9.2.6),,Klar,2019-12-10,Contsys SE,,,,
184,"grupp av vårdepisoder
","uppsättning av vårdepisoder, kumulativa vårdepisoder",,,,,,,,,,uppsättning av vårdepisoder (10.2.6) avgränsad av ett hälso- och sjukvårdssamband (6.6),,Klar,2019-12-10,Contsys SE,,,,
185,"hälso- och sjukvårdsmandat
","hälso- och sjukvårdsuppdrag, vårdmandat, vårduppdrag",,,,,,,,,,"mandat (23.8.2) , baserat på ett vårdåtagande (11.2.10) och antingen ett informerat samtycke (11.2.6) eller behörighet enligt lag (11.2.9) , som definierar rättigheterna och skyldigheterna för en enskild hälso- och sjukvårdsaktör (5.2) med avseende på dennas medverkan i hälso- och sjukvårdsprocess (8.2) som utförs för en specifik patient (5.2.1)

Alternativ definition 
vårdmandat baserad på ett åtagande och antingen ett informerat samtycke eller auktoriserat enligt lag och som definierar rättigheter och skyldigheter för en hälso- och sjukvårdsaktör baserad på dennes involvering i hälso- och sjukvårdsprocessen för en patient (3R Contsys) mandat att tillhandahålla hälso- och sjukvårdsaktiviteter åt en patient (FVM)",,Klar,2019-12-10,Contsys SE,,,,
186,"mandat att framställa vårdbegäran
",uppdrag att framställa vårdbegäran,,,,,,,,,,"hälso- och sjukvårdsmandat (11.2) som fördelar rättigheter och skyldigheter att efterfråga utförande av hälso- och sjukvårdsaktiviteter (7.2)

Alternativ definition  
mandat att begära vård (FVM i förfrågningsunderlaget).",,Klar,2019-12-10,Contsys SE,"Anmärkning 1  vårdmandat som ger hälso- och sjukvårdspersonal rätt att utfärda vårdbegäran (FVM) I FVM har använts ""mandat att begära vård"", vilken är hämtad från SAMBA i stället för den tyngre termen i 3R Contsys ""mandat att framställa vårdbegäran"". Den är också en bättre översättning av den engelska termen ""demand mandate"".  

Anmärkning 2  Mandat att begära vård behövs inte för enskild person, som alltid kan framställa vårdbegäran för egen räkning. Detta begrepp behövs för att markera när hälso- och sjukvårdspersonal eller patientens representant har rätt att utfärda vårdbegäran, dvs remiss eller förfrågan.",,,
187,mandat för vårdperiod,,,,,,,,,,,hälso- och sjukvårdsmandat (11.2) som ger befogenhet för en vårdperiod med mandat (10.2.1),,Klar,2019-12-10,Contsys SE,,,,
188,mandat för hälso- och sjukvårdsaktivitet,,,,,,,,,,,"hälso- och sjukvårdsmandat (11.2) som fördelar rättigheter och skyldigheter att utföra specifika hälso- och sjukvårdsaktiviteter (7.2)

Alternativ definition  
vårdmandat som avser specifik hälso- och sjukvårdsaktivitet (FVM)",,Klar,2019-12-10,Contsys SE ,"Anmärkning 1 I 3R Contsys finns termfrasen ""mandat att tilldela hälso- och sjukvårdsaktiviteter"" med definition ""vårdmandat att tilldela rättigheter och skyldigheter att utföra specifika hälso- och sjukvårdsaktiviteter"". Eftersom ett mandat i sig för förenat med rättigheter och skyldigheter är den delen av definitionen onödig. Betydelsen av ordet ""tilldela"" i termfrasen är oklar. 

",,,
189,mandat för kontinuitetssamordning,,,,,,,,,,,"hälso- och sjukvårdsmandat (11.2) som fördelar rättigheter och skyldigheter att övervaka och samordna utförande av den vård som beskrivs i mandat för vårdperiod (11.2.2) relaterade till hälso- och sjukvårdsangelägenheter (6.2) ingående i specifika hälso- och sjukvårdssamband (6.6)

Alternativ definition 
vårdmandat avseende rättigheter och skyldigheter att övervaka och koordinera vård beskriven i de mandat som bemyndigar en vårduppdragsperiod relaterade till hälso- och sjukvårdsangelägenheter ingående i ett hälso- och sjukvårdssamband (3R Contsys). Definitionen enligt 3R Contsys är en god översättning av definitionen i engelskspråkiga Contsys: ""healthcare mandate assigning the right and obligation to monitor and coordinate the delivery of care described in those care period mandates related to healthcare matters linked by specific health threads"". Båda definitionerna är i stort sett lika obegripliga och hänvisar till så många mandatbegrepp att modelleringen blir svår. Självklart ska bara mandaterade aktiviteter samordnas, det behöver inte upprepas i denna definition.",,Klar,2019-12-10,Contsys SE ,"Anmärkning 1     
Term enligt FVM: samordningsmandat. Definition: vårdmandat med uppdrag att samordna hälso- och sjukvårdsaktiviteter i syfte att skapa kontinuitet i vården av en patient (FVM). Definitionen enligt 3R Contsys är en god översättning av definitionen i engelskspråkiga Contsys: ""healthcare mandate assigning the right and obligation to monitor and coordinate the delivery of care described in those care period mandates related to healthcare matters linked by specific health threads"". Båda definitionerna är i stort sett lika obegripliga och hänvisar till så många mandatbegrepp att modelleringen blir svår. Självklart ska bara mandaterade aktiviteter samordnas, det behöver inte upprepas i denna definition. 

Exempel 1     
Mandat för koordinator, t.ex. teamsjuksköterska, vårdplatssamordnare, distriktssjuksköterska.",,,
190,"mandat att kommunicera personlig information
S","mandat att förmedla personlig information, uppdrag att kommunicera personlig information",,,,,,,,,,hälso- och sjukvårdsmandat (11.2) som anger rättighet att kommunicera dokumenterad personlig information,,Klar,2019-12-10,Contsys SE ,"Anmärkning 1  FVM term: mandat att lämna ut journalhandling vårdmandat) som ger hälso- och sjukvårdspersonal rätt att lämna ut uppgift ur patientjournal (3R Contsys reviderad, avser där termen ""mandat att kommunicera personlig information"").

Anmärkning 2  Patientdatalagen (2008:355) 4 kap. 1 och 4 §§ bestämmer hur hälso- och sjukvårdspersonal ska ha tillgång till patientjournalen. Om hälso- och sjukvårdspersonal som inte har tillgång enligt dessa lagrum behöver information och rekvirerar den ska den som disponerar informationen under förutsättning av mandat för det ställa informationen till förfogande. Om utlämning sker utanför vårdgivarens gräns, antingen till aktör utanför hälso- och sjukvården (5 kap.) eller till annan vårdgivare (6 kap., sammanhållen journal) krävs motsvarande mandat.",,,
